,num_layers,d_model,dff,num_heads,dropout_rate,warmup_steps,batch_size,beta_1,beta_2,epsilon,activation,sequential,val_accuracy
55,1,128,640,12,0.2,4750,64,0.93,0.975,8.404224399612563e-09,relu,True,0.47579529881477306
81,3,72,800,11,0.08,4250,64,0.89,0.965,3.7955093362421474e-08,relu,True,0.48224988579750006
12,1,112,768,8,0.08,4500,64,0.81,0.9550000000000001,8.006963874519702e-08,relu,True,0.48271092772483803
0,3,88,640,11,0.14,4750,64,0.93,0.975,9.535256775449511e-08,relu,True,0.483171969652175
14,1,112,992,11,0.04,3500,64,0.8500000000000001,0.98,1.7187044145107492e-08,relu,True,0.483171969652175
21,1,32,608,8,0.12,3000,64,0.89,0.97,8.266232023319457e-08,relu,True,0.48639926314353904
17,2,104,544,12,0.06,2500,64,0.79,0.975,2.437875469847934e-08,relu,True,0.48639926314353904
77,1,48,576,11,0.16,2500,64,0.8500000000000001,0.975,1.368836844857978e-09,relu,True,0.48639926314353904
47,3,56,768,14,0.2,4000,64,0.93,0.975,6.18814081224554e-08,relu,True,0.48732134699821406
73,3,128,768,8,0.1,3750,64,0.93,0.97,9.83696988147272e-08,relu,True,0.48732134699821406
58,1,112,544,12,0.16,3750,64,0.89,0.965,6.944241180856282e-08,relu,True,0.48778238892555204
24,2,16,576,8,0.14,4000,64,0.89,0.975,4.847686046994316e-08,relu,True,0.48778238892555204
86,1,24,992,11,0.08,3500,64,0.8300000000000001,0.98,8.429171258210227e-08,relu,True,0.48824343085289
20,4,64,928,8,0.08,3750,64,0.93,0.965,2.820623926673401e-08,relu,True,0.48824343085289
57,2,40,736,14,0.22,3750,64,0.91,0.965,1.50180438290378e-08,relu,True,0.48870447278022705
11,1,40,544,10,0.1,4750,64,0.89,0.985,3.78609199915677e-08,relu,True,0.489626556634902
76,1,48,992,12,0.16,3250,64,0.8300000000000001,0.97,4.56801645126608e-08,relu,True,0.489626556634902
48,1,104,608,11,0.08,4250,64,0.87,0.9550000000000001,7.717334739884501e-08,relu,True,0.49008759856224005
32,1,72,896,14,0.22,2500,64,0.81,0.975,4.797978805868618e-08,relu,True,0.490548640489578
18,3,96,928,12,0.12,3250,64,0.89,0.96,1.382133307189705e-08,relu,True,0.490548640489578
1,4,120,512,10,0.2,2750,64,0.89,0.975,6.560468271196675e-09,relu,True,0.49100968241691506
96,4,24,928,9,0.2,3000,64,0.8300000000000001,0.9500000000000001,1.149006978491262e-08,relu,True,0.49100968241691506
6,1,56,704,9,0.18000000000000002,3250,64,0.89,0.99,7.459781351348033e-08,relu,True,0.49147072434425304
35,2,112,800,12,0.16,3250,64,0.81,0.965,5.130999143257947e-08,relu,True,0.49147072434425304
67,2,48,896,8,0.16,2750,64,0.91,0.9550000000000001,4.558436556840114e-08,relu,True,0.491931766271591
10,2,32,640,8,0.06,2500,64,0.89,0.98,7.191444340691781e-08,relu,True,0.49239280819892806
93,1,56,512,14,0.22,2500,64,0.8300000000000001,0.965,7.642593254011694e-08,relu,True,0.49239280819892806
30,3,128,928,14,0.2,2500,64,0.79,0.97,7.079068852921316e-08,relu,True,0.49239280819892806
53,4,64,640,9,0.14,4250,64,0.8300000000000001,0.975,3.0712315569594646e-08,relu,True,0.49285385012626604
37,2,120,928,14,0.18000000000000002,3000,64,0.79,0.98,1.983308998872946e-08,relu,True,0.49285385012626604
7,1,72,1024,14,0.06,3500,64,0.87,0.9550000000000001,6.460499155691062e-08,relu,True,0.49285385012626604
60,4,64,704,11,0.06,3250,64,0.89,0.9500000000000001,3.271529588244935e-08,relu,True,0.49285385012626604
15,1,40,992,14,0.14,4000,64,0.8300000000000001,0.975,9.613098252821773e-08,relu,True,0.49285385012626604
19,3,80,576,13,0.1,2500,64,0.89,0.975,5.5581661882482774e-08,relu,True,0.493314892053604
8,2,120,864,11,0.08,4500,64,0.8500000000000001,0.965,6.983955196157734e-08,relu,True,0.493314892053604
