,num_layers,d_model,dff,num_heads,dropout_rate,warmup_steps,batch_size,beta_1,beta_2,epsilon,activation,sequential,val_accuracy
22,4,72,608,12,0.1,4250,64,0.8500000000000001,0.98,3.5535221463937734e-08,relu,True,0.49377593398094105
54,4,72,832,9,0.2,3750,64,0.8300000000000001,0.975,5.229872333523573e-08,relu,True,0.49423697590827903
43,4,16,992,14,0.12,4500,64,0.87,0.98,6.748743097148629e-08,relu,True,0.49423697590827903
49,3,32,960,11,0.18000000000000002,3500,64,0.91,0.965,9.646918220666574e-08,relu,True,0.49423697590827903
34,2,72,896,14,0.2,2500,64,0.79,0.97,5.407965009296179e-08,relu,True,0.49423697590827903
91,4,80,896,8,0.16,4500,64,0.91,0.97,3.022819128947109e-08,relu,True,0.49469801783561707
13,4,40,800,14,0.22,3250,64,0.8300000000000001,0.9550000000000001,9.639132719228114e-08,relu,True,0.49469801783561707
69,4,104,672,9,0.04,3500,64,0.79,0.97,2.6899422969245902e-08,relu,True,0.49469801783561707
65,2,104,992,10,0.12,4500,64,0.8500000000000001,0.99,5.225861126016769e-08,relu,True,0.49469801783561707
95,1,56,832,9,0.14,3500,64,0.87,0.965,2.1228910270992014e-08,relu,True,0.49469801783561707
90,4,104,544,12,0.1,2750,64,0.8300000000000001,0.975,1.83940257771367e-08,relu,True,0.49469801783561707
84,3,24,896,13,0.12,4750,64,0.91,0.9550000000000001,9.8223565705503e-08,relu,True,0.49515905976295405
52,2,24,672,9,0.16,3500,64,0.81,0.97,3.0738583688134587e-08,relu,True,0.49515905976295405
9,4,88,608,13,0.06,3750,64,0.8300000000000001,0.985,6.817056409150136e-08,relu,True,0.49515905976295405
33,3,72,896,13,0.18000000000000002,2750,64,0.79,0.97,6.172135054828178e-08,relu,True,0.495620101690292
97,4,80,640,11,0.2,4500,64,0.93,0.96,9.302849991810804e-08,relu,True,0.495620101690292
36,1,88,864,13,0.16,2500,64,0.8500000000000001,0.985,8.377100641105891e-08,relu,True,0.495620101690292
40,2,32,928,13,0.2,4000,64,0.8300000000000001,0.985,7.19979430675226e-08,relu,True,0.495620101690292
44,3,56,768,12,0.16,4500,64,0.8500000000000001,0.9550000000000001,8.369708604181469e-08,relu,True,0.49608114361763
50,2,64,928,12,0.12,4000,64,0.8500000000000001,0.97,1.6929751612355322e-08,relu,True,0.49608114361763
59,4,56,576,11,0.08,2750,64,0.93,0.97,7.42647019002793e-08,relu,True,0.49608114361763
5,3,16,512,13,0.1,4750,64,0.81,0.97,6.275657888982769e-08,relu,True,0.49608114361763
72,3,96,512,8,0.06,3500,64,0.91,0.98,9.714197218029009e-08,relu,True,0.49654218554496704
68,2,24,608,12,0.22,2500,64,0.91,0.9500000000000001,8.865244707915247e-08,relu,True,0.49654218554496704
71,3,40,576,12,0.22,4250,64,0.93,0.97,9.57792106862269e-08,relu,True,0.49654218554496704
85,3,120,1024,13,0.12,4750,64,0.8500000000000001,0.985,9.669928050009738e-08,relu,True,0.49654218554496704
16,3,80,640,10,0.16,2750,64,0.8300000000000001,0.985,6.882361853621177e-08,relu,True,0.497003227472305
89,3,120,864,9,0.08,2750,64,0.8300000000000001,0.985,9.801357126779893e-08,relu,True,0.497003227472305
87,4,88,832,10,0.08,2500,64,0.81,0.96,5.353822143293687e-09,relu,True,0.49746426939964206
79,1,16,672,12,0.06,3250,64,0.8300000000000001,0.97,1.717163095617771e-08,relu,True,0.49746426939964206
38,3,64,800,11,0.16,3250,64,0.81,0.985,8.526726412375181e-08,relu,True,0.49746426939964206
70,4,24,768,10,0.08,2750,64,0.87,0.985,7.671385776423927e-09,relu,True,0.49792531132698004
23,1,80,736,9,0.1,4250,64,0.87,0.965,1.6308693030230481e-09,relu,True,0.498386353254318
2,4,64,576,8,0.04,2500,64,0.87,0.9500000000000001,8.933455090057928e-08,relu,True,0.498386353254318
63,4,16,576,13,0.18000000000000002,4750,64,0.87,0.96,9.317458364955732e-08,relu,True,0.498386353254318
66,2,48,704,11,0.1,3250,64,0.8500000000000001,0.975,7.323663487936751e-08,relu,True,0.49884739518165505
74,3,96,896,13,0.2,2750,64,0.79,0.97,5.9528965983510504e-08,relu,True,0.49884739518165505
4,1,128,608,13,0.14,3000,64,0.81,0.9550000000000001,8.212275224870686e-08,relu,True,0.49930843710899303
92,2,112,800,9,0.08,3000,64,0.8500000000000001,0.99,6.328227466671778e-10,relu,True,0.500230550765991
42,3,16,800,13,0.1,3500,64,0.81,0.99,4.2732009464349975e-08,relu,True,0.500230550765991
46,2,128,960,14,0.12,3000,64,0.91,0.965,1.833454301432631e-08,relu,True,0.500230550765991
62,1,72,640,14,0.08,3500,64,0.89,0.965,5.9071149811463696e-08,relu,True,0.500230550765991
25,3,48,864,14,0.14,4000,64,0.8500000000000001,0.9500000000000001,4.775815483599442e-08,relu,True,0.5006915926933281
82,2,104,800,11,0.18000000000000002,4000,64,0.89,0.9550000000000001,2.4940762543452433e-08,relu,True,0.5006915926933281
28,3,40,960,14,0.18000000000000002,3000,64,0.79,0.965,3.479151603896839e-08,relu,True,0.501613676548004
3,3,80,1024,12,0.2,2750,64,0.8300000000000001,0.96,6.034627362054162e-08,relu,True,0.502074718475341
41,3,120,800,11,0.04,4500,64,0.89,0.99,1.9367580933737523e-09,relu,True,0.502074718475341
26,2,64,864,14,0.16,2750,64,0.81,0.97,3.809332068281698e-08,relu,True,0.5034578442573541
27,2,72,864,14,0.18000000000000002,3000,64,0.81,0.96,5.3360948013021584e-08,relu,True,0.503918886184692
61,4,96,512,12,0.14,4750,64,0.8500000000000001,0.9500000000000001,9.405877131584978e-08,relu,True,0.504840970039367
80,3,16,608,14,0.14,4000,64,0.79,0.96,9.324078324728292e-08,relu,True,0.504840970039367
83,3,56,736,11,0.2,3250,64,0.89,0.98,5.25197735696072e-08,relu,True,0.504840970039367
51,2,56,928,13,0.14,4500,64,0.8300000000000001,0.985,7.771932483029827e-08,relu,True,0.505302011966705
88,4,120,544,14,0.18000000000000002,4250,64,0.8500000000000001,0.975,2.11384367426946e-10,relu,True,0.505302011966705
75,4,104,896,12,0.16,3250,64,0.79,0.975,8.322311948836841e-08,relu,True,0.5057630538940431
78,4,120,608,10,0.16,3500,64,0.79,0.965,7.170622862875966e-08,relu,True,0.5062240958213801
39,3,56,1024,13,0.12,4500,64,0.8300000000000001,0.96,5.346140392277514e-08,relu,True,0.506685137748718
56,4,80,544,13,0.2,4250,64,0.87,0.9550000000000001,9.756409397070082e-08,relu,True,0.506685137748718
31,2,56,896,13,0.22,2500,64,0.79,0.975,5.443117052408373e-08,relu,True,0.507146179676055
94,2,32,1024,9,0.22,3750,64,0.81,0.98,3.370614844191283e-08,relu,True,0.5080682635307311
98,2,88,736,10,0.04,3000,64,0.81,0.99,4.21945214301566e-08,relu,True,0.5080682635307311
29,2,88,896,14,0.2,2500,64,0.79,0.975,6.224755104194916e-08,relu,True,0.5085293054580681
45,3,128,736,8,0.2,3250,64,0.79,0.98,6.358078923095095e-08,relu,True,0.508990347385406
64,4,40,864,10,0.22,2500,64,0.8300000000000001,0.975,2.072917501183593e-08,relu,True,0.508990347385406
